techColumn,"First name","amothertech","Second Name","SSN",        "Test1", "Test2", "Test3", "Test4", "Final", "Grade"
techColumn,"Alfalfa",   "amothertech","Aloysius",   "123-45-6789", 40.0,    90.0,   100.0,    83.0,    49.0,   "D-"
techColumn,"Alfred",    "amothertech","University", "123-12-1234", 41.0,    97.0,    96.0,    97.0,    48.0,   "D+"
techColumn,"Gerty",     "amothertech","Gramma",     "567-89-0123", 41.0,    80.0,    60.0,    40.0,    44.0,   "C"
techColumn,"Android",   "amothertech","Electric",   "087-65-4321", 42.0,    23.0,    36.0,    45.0,    47.0,   "B-"
techColumn,"Bumpkin",   "amothertech","Fred",       "456-78-9012", 43.0,    78.0,    88.0,    77.0,    45.0,   "A-"
techColumn,"Rubble",    "amothertech","Betty",      "234-56-7890", 44.0,    90.0,    80.0,    90.0,    46.0,   "C-"
techColumn,"Noshow",    "amothertech","Cecil",      "345-67-8901", 45.0,    11.0,    -1.0,     4.0,    43.0,   "F"
techColumn,"Buff",      "amothertech","Bif",        "632-79-9939", 46.0,    20.0,    30.0,    40.0,    50.0,   "B+"
techColumn,"Airpump",   "amothertech","Andrew",     "223-45-6789", 49.0,    1.0,    90.0,   100.0,    83.0,   "A"
techColumn,"Backus",    "amothertech","Jim",        "143-12-1234", 48.0,    1.0,    97.0,    96.0,    97.0,   "A+"
techColumn,"Carnivore", "amothertech","Art",        "565-89-0123", 44.0,    1.0,    80.0,    60.0,    40.0,   "D+"
techColumn,"Dandy",     "amothertech","Jim",        "087-75-4321", 47.0,    1.0,    23.0,    36.0,    45.0,   "C+"
techColumn,"Elephant",  "amothertech","Ima",        "456-71-9012", 45.0,    1.0,    78.0,    88.0,    77.0,   "B-"
techColumn,"Franklin",  "amothertech","Benny",      "234-56-2890", 50.0,    1.0,    90.0,    80.0,    90.0,   "B-"
techColumn,"George",    "amothertech","Boy",        "345-67-3901", 40.0,    1.0,    11.0,    -1.0,     4.0,   "B"
blank,"",
techColumn,"Heffalump", "amothertech","Harvey",     "632-79-9439", 30.0,    1.0,    20.0,    30.0,    40.0,   "C"
